algorithm,variant,workload,parameter,repetitions,mean_ns,mean_ci95_low_ns,mean_ci95_high_ns,median_ns,p95_ns,p99_ns,maximum_observed_ns,throughput_updates_s,cycles_per_update,deadline_1us_miss_pct,deadline_10us_miss_pct,deadline_100us_miss_pct,persistent_bytes,history_bytes,temporary_bytes,bytes_read_per_update,baseline_variant,slowdown_ratio,relative_overhead_pct
rolling_max,hidden_incremental,continuous,256,7,10.709428571428571,9.525146195273978,11.893710947583164,0.0,100.0,100.0,600.0,97402597.403,39.036,0.0,0.0,0.0,49184,0,0,8,,,
rolling_max,hidden_incremental,continuous,1024,7,10.282285714285715,10.029074998669966,10.535496429901464,0.0,100.0,100.0,6500.0,98199672.668,38.783,0.004761904761904762,0.0,0.0,49184,0,0,8,,,
rolling_max,hidden_incremental,continuous,4096,7,10.188142857142859,9.982331855979302,10.393953858306416,0.0,100.0,100.0,9800.0,97879282.219,38.878,0.002380952380952381,0.0,0.0,49184,0,0,8,,,
sensor_monitor,event_incremental,all_change,64,7,89.14285714285714,85.57385243014997,92.71186185556431,100.0,100.0,200.0,10100.0,11529592.621,329.612,0.004761904761904762,0.004761904761904762,0.0,72,64,0,64,,,
sensor_monitor,event_incremental,all_change,1024,7,1465.7667142857142,1407.1274205899829,1524.4060079814456,1400.0,1700.0,1900.0,27100.0,689813.75,5483.793,100.0,0.03333333333333333,0.0,1032,1024,0,1024,,,
sensor_monitor,event_incremental,all_change,4096,7,5926.081,5501.339288199983,6350.822711800018,5600.0,5600.0,6600.0,110100.0,179023.249,21163.929,100.0,0.6333333333333333,0.009523809523809525,4104,4096,0,4096,,,
sensor_monitor,event_incremental,no_change,64,7,1.7142857142857142,1.3240230170471423,2.104548411524286,0.0,100.0,100.0,14400.0,545454545.455,7.333,0.004761904761904762,0.004761904761904762,0.0,72,64,0,0,,,
sensor_monitor,event_incremental,no_change,1024,7,2.057,1.2353916932289506,2.8786083067710493,0.0,100.0,100.0,6700.0,545454545.455,7.333,0.004761904761904762,0.0,0.0,1032,1024,0,0,,,
sensor_monitor,event_incremental,no_change,4096,7,1.6284285714285716,1.1886832294545564,2.0681739134025867,0.0,100.0,100.0,900.0,555555555.556,7.207,0.0,0.0,0.0,4104,4096,0,0,,,
sensor_monitor,event_incremental,one_percent,64,7,2.424,2.323870716890136,2.524129283109864,0.0,100.0,100.0,1200.0,405405405.405,9.736,0.004761904761904762,0.0,0.0,72,64,0,1,,,
sensor_monitor,event_incremental,one_percent,1024,7,14.028428571428572,13.12822094165521,14.928636201201934,0.0,100.0,100.0,19600.0,73710073.71,51.838,0.009523809523809525,0.004761904761904762,0.0,1032,1024,0,10,,,
sensor_monitor,event_incremental,one_percent,4096,7,63.505,55.593267555663765,71.41673244433623,100.0,100.0,100.0,24700.0,16163793.103,235.419,0.03333333333333333,0.014285714285714285,0.0,4104,4096,0,40,,,
sensor_monitor,periodic_recompute,all_change,64,7,123.32857142857142,121.56813109100719,125.08901176613566,100.0,200.0,200.0,4400.0,8051529.791,466.918,0.05238095238095238,0.0,0.0,0,64,0,64,event_incremental,1.3834935897435898,38.349358974358985
sensor_monitor,periodic_recompute,all_change,1024,7,1742.2430000000002,1717.1512431636947,1767.3347568363056,1700.0,1800.0,2000.0,29700.0,575385.028,6573.268,100.0,0.047619047619047616,0.0,0,1024,0,1024,event_incremental,1.188622297818392,18.8622297818392
sensor_monitor,periodic_recompute,all_change,4096,7,7290.938142857142,6558.120073272704,8023.756212441581,6800.0,7100.0,7600.0,312800.0,146611.801,25818.825,100.0,1.2476190476190476,0.03333333333333333,0,4096,0,4096,event_incremental,1.2303136158377084,23.03136158377084
sensor_monitor,periodic_recompute,no_change,64,7,21.418857142857142,19.604448587311246,23.233265698403038,0.0,100.0,100.0,5000.0,49180327.869,77.504,0.004761904761904762,0.0,0.0,0,64,0,64,event_incremental,12.494333333333334,1149.4333333333334
sensor_monitor,periodic_recompute,no_change,1024,7,324.59042857142856,313.2364854141845,335.94437172867265,300.0,400.0,500.0,13800.0,3150267.773,1204.657,0.08571428571428572,0.004761904761904762,0.0,0,1024,0,1024,event_incremental,157.79797208139453,15679.797208139453
sensor_monitor,periodic_recompute,no_change,4096,7,1343.5047142857143,1286.8426946430875,1400.166733928341,1300.0,1600.0,2100.0,19800.0,755267.994,5016.748,100.0,0.06190476190476191,0.0,0,4096,0,4096,event_incremental,825.0314062637073,82403.14062637073
sensor_monitor,periodic_recompute,one_percent,64,7,26.423714285714286,24.484611731731825,28.362816839696748,0.0,100.0,100.0,3100.0,39215686.275,97.101,0.009523809523809525,0.0,0.0,0,64,0,64,event_incremental,10.900872230080152,990.0872230080151
sensor_monitor,periodic_recompute,one_percent,1024,7,350.85714285714283,318.4274195979757,383.28686611630997,300.0,400.0,400.0,15500.0,2990728.741,1253.713,0.03333333333333333,0.009523809523809525,0.0,0,1024,0,1024,event_incremental,25.01043798816688,2401.043798816688
sensor_monitor,periodic_recompute,one_percent,4096,7,1908.319,1544.5453522043729,2272.092647795627,1700.0,2200.0,2900.0,254300.0,508724.627,6783.527,100.0,0.4142857142857143,0.01904761904761905,0,4096,0,4096,event_incremental,30.049901582552554,2904.990158255255
sliding_mean,explicit_incremental,continuous,4,7,5.433428571428571,5.385725198168735,5.481131944688408,0.0,100.0,100.0,20900.0,184615384.615,20.672,0.0011904761904761906,0.0011904761904761906,0.0,72,32,0,8,hidden_incremental,0.9988707093521024,-0.1129290647897574
sliding_mean,explicit_incremental,continuous,16,7,5.759571428571428,5.256378322519463,6.262764534623393,0.0,100.0,100.0,20400.0,181268882.175,21.146,0.002380952380952381,0.0011904761904761906,0.0,168,128,0,8,hidden_incremental,1.0462708257642601,4.6270825764260115
sliding_mean,explicit_incremental,continuous,64,7,5.534428571428571,5.40241918012273,5.666437962734412,0.0,100.0,100.0,34500.0,181818181.818,21.083,0.004761904761904762,0.0035714285714285713,0.0,552,512,0,8,hidden_incremental,0.9423970420102653,-5.76029579897347
sliding_mean,explicit_incremental,continuous,256,7,5.458285714285714,5.339609260418502,5.576962168152926,0.0,100.0,100.0,12100.0,185758513.932,20.545,0.004761904761904762,0.0011904761904761906,0.0,2088,2048,0,8,hidden_incremental,1.0094317191091384,0.9431719109138426
sliding_mean,explicit_incremental,continuous,1024,7,5.2250000000000005,5.1997952777931635,5.2502047222068375,0.0,100.0,100.0,4700.0,191082802.548,19.945,0.0011904761904761906,0.0,0.0,8232,8192,0,8,hidden_incremental,0.9860882693914967,-1.3911730608503259
sliding_mean,explicit_incremental,continuous,4096,7,4.743,4.520851826531415,4.965148173468585,0.0,100.0,100.0,14300.0,212014134.276,18.017,0.002380952380952381,0.0011904761904761906,0.0,32808,32768,0,8,hidden_incremental,1.0173745173745175,1.737451737451745
sliding_mean,full_recompute,continuous,4,7,4.664285714285714,3.8915267534889852,5.437044675082442,0.0,100.0,100.0,1100.0,221811460.259,17.163,0.0011904761904761906,0.0,0.0,0,32,0,32,explicit_incremental,0.8584424462323184,-14.155755376768164
sliding_mean,full_recompute,continuous,16,7,5.936999999999999,4.529015373704213,7.344984626295786,0.0,100.0,100.0,208100.0,192307692.308,19.787,0.009523809523809525,0.008333333333333333,0.0011904761904761906,0,128,0,128,explicit_incremental,1.0308058635315127,3.080586353151271
sliding_mean,full_recompute,continuous,64,7,21.440571428571428,17.816605740976467,25.064537116166388,100.0,100.0,100.0,270600.0,49342105.263,77.156,0.009523809523809525,0.009523809523809525,0.0011904761904761906,0,512,0,512,explicit_incremental,3.8740352598022767,287.40352598022764
sliding_mean,full_recompute,continuous,256,7,135.55842857142858,134.38914452264208,136.72771262021507,200.0,200.0,200.0,29200.0,7395993.837,512.308,0.02738095238095238,0.0035714285714285713,0.0,0,2048,0,2048,explicit_incremental,24.835348618090453,2383.534861809045
sliding_mean,full_recompute,continuous,1024,7,629.8311428571429,628.1176388352497,631.5446468790361,700.0,800.0,800.0,48800.0,1587574.583,2381.151,0.05476190476190476,0.005952380952380952,0.0,0,8192,0,8192,explicit_incremental,120.54184552289816,11954.184552289817
sliding_mean,full_recompute,continuous,4096,7,2283.752285714286,2264.072964531515,2303.4316068970566,2800.0,2800.0,3000.0,92400.0,438861.155,8624.144,87.23214285714286,0.0380952380952381,0.0,0,32768,0,32768,explicit_incremental,481.49953314659194,48049.95331465919
sliding_mean,hidden_incremental,continuous,4,7,5.439571428571428,5.429961922576706,5.44918093456615,0.0,100.0,100.0,11000.0,183767228.178,20.798,0.0035714285714285713,0.002380952380952381,0.0,72,32,0,8,,,
sliding_mean,hidden_incremental,continuous,16,7,5.5048571428571424,5.45241443760889,5.557299848105395,0.0,100.0,100.0,35300.0,182648401.826,20.925,0.0011904761904761906,0.0011904761904761906,0.0,168,128,0,8,,,
sliding_mean,hidden_incremental,continuous,64,7,5.872714285714286,5.44115678278844,6.304271788640133,0.0,100.0,100.0,15600.0,176730486.009,21.747,0.005952380952380952,0.0035714285714285713,0.0,552,512,0,8,,,
sliding_mean,hidden_incremental,continuous,256,7,5.407285714285714,5.372324493333113,5.442246935238315,0.0,100.0,100.0,3400.0,185471406.491,20.545,0.002380952380952381,0.0,0.0,2088,2048,0,8,,,
sliding_mean,hidden_incremental,continuous,1024,7,5.2987142857142855,5.134230743888533,5.463197827540038,0.0,100.0,100.0,6900.0,190779014.308,20.008,0.0035714285714285713,0.0,0.0,8232,8192,0,8,,,
sliding_mean,hidden_incremental,continuous,4096,7,4.662,4.643595138980616,4.680404861019384,0.0,100.0,100.0,400.0,214285714.286,17.796,0.0,0.0,0.0,32808,32768,0,8,,,
