algorithm,workload,variant,phase,entities,change_percent,work_rounds,repetition,samples,changed_entities,arithmetic_per_tick,recomputed_entities,mean_ns,median_ns,p95_ns,p99_ns,maximum_ns,throughput_per_s,cycles_per_tick,miss_100us,miss_1ms,miss_16_67ms,persistent_bytes,temporary_bytes,event_bytes,working_bytes,source_call_depth,checksum
derived_vectors,change_density,stateful_event,tick_only,64,0,16,7,2001,0,0,0,27.586,0,100,100,200,36250000.000,214.956,0,0,0,2304,0,0,2304,4,17870180632888718933
derived_vectors,change_density,tick_selective,tick_only,64,0,16,7,2001,0,0,0,195.452,100,200,300,25300,5116338.532,714.623,0,0,0,2816,0,0,2816,3,17870180632888718933
derived_vectors,change_density,stateless_full,frame_total,64,0,16,8,2001,0,6144,64,757.321,700,900,1200,22700,1320443.447,2882.566,0,0,0,1536,768,0,2304,3,17870180632888718933
derived_vectors,change_density,stateful_event,frame_total,64,0,16,8,2001,0,0,0,34.883,0,100,100,21200,28667621.777,222.348,0,0,0,2304,0,0,2304,4,17870180632888718933
derived_vectors,change_density,tick_selective,frame_total,64,0,16,8,2001,0,0,0,126.437,100,200,200,500,7909090.909,581.366,0,0,0,2816,0,0,2816,3,17870180632888718933
derived_vectors,change_density,stateless_full,tick_only,64,0,16,8,2001,0,6144,64,670.115,600,800,900,21500,1492281.304,2623.065,0,0,0,1536,768,0,2304,3,17870180632888718933
derived_vectors,change_density,stateful_event,tick_only,64,0,16,8,2001,0,0,0,29.685,0,100,100,14300,33686868.687,197.896,0,0,0,2304,0,0,2304,4,17870180632888718933
derived_vectors,change_density,tick_selective,tick_only,64,0,16,8,2001,0,0,0,80.760,100,100,100,200,12382425.743,401.099,0,0,0,2816,0,0,2816,3,17870180632888718933
derived_vectors,change_density,stateless_full,frame_total,64,0,16,9,2001,0,6144,64,639.480,600,700,900,28000,1563769.928,2476.919,0,0,0,1536,768,0,2304,3,17870180632888718933
derived_vectors,change_density,stateful_event,frame_total,64,0,16,9,2001,0,0,0,23.788,0,100,100,100,42037815.126,183.300,0,0,0,2304,0,0,2304,4,17870180632888718933
derived_vectors,change_density,tick_selective,frame_total,64,0,16,9,2001,0,0,0,103.598,100,200,200,400,9652677.279,487.536,0,0,0,2816,0,0,2816,3,17870180632888718933
derived_vectors,change_density,stateless_full,tick_only,64,0,16,9,2001,0,6144,64,761.619,600,800,900,186600,1312992.126,2566.388,1,0,0,1536,768,0,2304,3,17870180632888718933
derived_vectors,change_density,stateful_event,tick_only,64,0,16,9,2001,0,0,0,22.889,0,100,100,100,43689956.332,182.162,0,0,0,2304,0,0,2304,4,17870180632888718933
derived_vectors,change_density,tick_selective,tick_only,64,0,16,9,2001,0,0,0,144.378,100,200,300,30900,6926272.066,607.525,0,0,0,2816,0,0,2816,3,17870180632888718933
derived_vectors,change_density,stateless_full,frame_total,64,0,16,10,2001,0,6144,64,700.200,700,700,800,20200,1428163.586,2703.437,0,0,0,1536,768,0,2304,3,17870180632888718933
derived_vectors,change_density,stateful_event,frame_total,64,0,16,10,2001,0,0,0,22.639,0,100,100,100,44172185.430,186.333,0,0,0,2304,0,0,2304,4,17870180632888718933
derived_vectors,change_density,tick_selective,frame_total,64,0,16,10,2001,0,0,0,117.091,100,200,200,400,8540332.907,546.298,0,0,0,2816,0,0,2816,3,17870180632888718933
