platform,compiler,build_flags,algorithm,variant,workload,parameter,repetition,iterations,timer_overhead_ns,mean_ns,median_ns,p95_ns,p99_ns,max_ns,throughput_updates_s,cpu_utilization_pct,cycles_per_update,deadline_1us_misses,deadline_10us_misses,deadline_100us_misses,persistent_bytes,history_bytes,temporary_bytes,bytes_read_per_update,checksum
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","rolling_max","full_recompute","continuous",4,7,12000,0,4.058,0,100,100,4700,246406570.842,0.000,15.520,1,0,0,0,16,0,16,13879756857014277832
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","sliding_mean","hidden_incremental","continuous",16,1,12000,0,5.567,0,100,100,300,179640718.563,0.000,21.304,0,0,0,168,128,0,8,6045763259776721384
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","sliding_mean","explicit_incremental","continuous",16,1,12000,0,6.167,0,100,100,600,162162162.162,0.000,22.631,0,0,0,168,128,0,8,6045763259776721384
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","sliding_mean","full_recompute","continuous",16,1,12000,0,4.975,0,100,100,200,201005025.126,0.000,18.997,0,0,0,0,128,0,128,6045763259776721384
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","rolling_max","hidden_incremental","continuous",16,1,12000,0,10.908,0,100,100,200,91673032.850,0.000,41.470,0,0,0,49184,0,0,8,16875857350270652090
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","rolling_max","explicit_incremental","continuous",16,1,12000,0,10.975,0,100,100,5000,91116173.121,0.000,41.755,1,0,0,49184,0,0,8,16875857350270652090
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","rolling_max","full_recompute","continuous",16,1,12000,0,10.042,0,100,100,200,99585062.241,0.000,38.215,0,0,0,0,64,0,64,16875857350270652090
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","sliding_mean","explicit_incremental","continuous",16,2,12000,0,5.408,0,100,100,4200,184899845.917,0.000,20.640,1,0,0,168,128,0,8,6045763259776721384
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","sliding_mean","full_recompute","continuous",16,2,12000,0,5.200,0,100,100,200,192307692.308,0.000,19.787,0,0,0,0,128,0,128,6045763259776721384
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","rolling_max","hidden_incremental","continuous",16,2,12000,0,10.617,0,100,100,800,94191522.763,12264.521,40.395,0,0,0,49184,0,0,8,16875857350270652090
