algorithm,workload,variant,phase,entities,change_percent,work_rounds,repetitions,total_samples,mean_ns,mean_ci95_low_ns,mean_ci95_high_ns,median_ns,p95_ns,p99_ns,maximum_ns,throughput_per_s,cycles_per_tick,miss_100us_pct,miss_1ms_pct,miss_16_67ms_pct,changed_entities,arithmetic_per_tick,vector_multiplies_per_tick,vector_adds_per_tick,persistent_bytes,temporary_bytes,event_bytes,working_bytes,source_call_depth,checksum_consistent,mean_ratio_to_stateful,p99_increment_over_stateful_ns,working_memory_ratio_to_stateful
derived_vectors,change_density,tick_selective,frame_total,1024,1,16,11,8943,1428.2567272727274,1381.9107631072975,1474.6026914381573,1400.0,1400.0,1500.0,28700.0,713972.073,5486.554,0.0,0.0,0.0,11,1056,176,176,45056,0,308,45364,3,0,4.406426819287638,1100.0,1.2203809318842138
derived_vectors,change_density,tick_selective,frame_total,1024,10,16,11,8943,3057.9222727272722,3016.7146235313426,3099.129921923202,3000.0,3000.0,4600.0,41900.0,329978.083,12343.346,0.0,0.0,0.0,103,9888,1648,1648,45056,0,2884,47940,3,0,1.064222280612473,1400.0,1.2060984200462916
derived_vectors,change_density,tick_selective,frame_total,1024,100,16,11,8943,23530.49327272727,22661.489431412425,24399.49711404212,22000.0,29700.0,36900.0,134700.0,43380.591,95642.386,0.011181930001118194,0.0,0.0,1024,98304,16384,16384,45056,0,28672,73728,3,0,0.829001011210781,-2200.0,1.125
derived_vectors,change_density,tick_selective,frame_total,4096,0,16,11,2233,4781.056909090908,4686.038309922511,4876.075508259306,4600.0,4700.0,4700.0,25000.0,212520.938,17821.498,0.0,0.0,0.0,0,0,0,0,180224,0,0,180224,3,1,161.02615713878927,4600.0,1.2222222222222223
derived_vectors,change_density,tick_selective,frame_total,4096,1,16,11,2233,5659.9643636363635,5367.516781293641,5952.411945979086,5300.0,5500.0,9400.0,46100.0,181801.899,21194.084,0.0,0.0,0.0,41,3936,656,656,180224,0,1148,181372,3,0,4.909568506457433,8200.0,1.2205055045624613
derived_vectors,change_density,tick_selective,frame_total,4096,10,16,11,2233,13195.342545454547,12242.45779365707,14148.227297252024,12100.0,16800.0,23300.0,62900.0,78850.262,51143.842,0.0,0.0,0.0,410,39360,6560,6560,180224,0,11480,191704,3,0,1.1593534498905456,3000.0,1.2061710373987014
derived_vectors,change_density,tick_selective,frame_total,4096,100,16,11,2233,98557.94900000001,92066.15268679164,105049.74531320838,89100.0,119700.0,137200.0,1188100.0,10437.125,402185.054,27.720555306762204,0.04478280340349306,0.0,4096,393216,65536,65536,180224,0,114688,294912,3,0,0.8547532471723984,-2300.0,1.125
derived_vectors,change_density,tick_selective,tick_only,64,0,16,11,22011,102.42145454545454,89.15956923294799,115.68333985796109,100.0,200.0,200.0,30200.0,10040140.492,476.732,0.0,0.0,0.0,0,0,0,0,2816,0,0,2816,3,1,4.332015749484758,100.0,1.2222222222222223
derived_vectors,change_density,tick_selective,tick_only,64,1,16,11,22011,105.17481818181818,100.96909420491086,109.3805421587255,100.0,100.0,200.0,16200.0,9713592.233,507.818,0.0,0.0,0.0,1,96,16,16,2816,0,28,2844,3,0,4.4281083025858505,100.0,1.2195540308747856
derived_vectors,change_density,tick_selective,tick_only,64,10,16,11,22011,223.3290909090909,202.93870196796314,243.71947985021865,200.0,300.0,400.0,35400.0,4692776.735,1000.093,0.0,0.0,0.0,7,672,112,112,2816,0,196,3012,3,0,9.599134107791077,300.0,1.2048
derived_vectors,change_density,tick_selective,tick_only,64,100,16,11,22011,1393.5169090909092,1323.4597050079353,1463.574113173883,1300.0,1400.0,1900.0,39900.0,747701.965,5926.823,0.0,0.0,0.0,64,6144,1024,1024,2816,0,1792,4608,3,0,58.63646483231901,1800.0,1.125
derived_vectors,change_density,tick_selective,tick_only,256,0,16,11,22011,338.1808181818182,301.69305340538995,374.6685829582465,300.0,300.0,300.0,29300.0,3254187.673,1249.738,0.0,0.0,0.0,0,0,0,0,11264,0,0,11264,3,1,14.325887957361106,200.0,1.2222222222222223
derived_vectors,change_density,tick_selective,tick_only,256,1,16,11,22011,358.18454545454546,351.7771923340215,364.5918985750694,300.0,400.0,400.0,23900.0,2807632.945,1484.408,0.0,0.0,0.0,3,288,48,48,11264,0,84,11348,3,0,13.131244792534577,300.0,1.2202150537634409
derived_vectors,change_density,tick_selective,tick_only,256,10,16,11,22011,867.3617272727272,774.3829236757203,960.340530869734,800.0,1100.0,1300.0,27000.0,1229039.985,3546.01,0.0,0.0,0.0,26,2496,416,416,11264,0,728,11992,3,0,35.872792489293786,1200.0,1.2059533386967016
derived_vectors,change_density,tick_selective,tick_only,256,100,16,11,22011,5782.158909090909,5393.845735093279,6170.47208308854,5200.0,6600.0,9400.0,68600.0,183722.937,24057.4,0.0,0.0,0.0,256,24576,4096,4096,11264,0,7168,18432,3,0,223.91113082539482,9300.0,1.125
derived_vectors,change_density,tick_selective,tick_only,1024,0,16,11,8943,1325.2375454545454,1195.4192536982312,1455.0558372108596,1200.0,1300.0,2200.0,31000.0,814547.641,4720.022,0.0,0.0,0.0,0,0,0,0,45056,0,0,45056,3,1,56.436751838946954,2100.0,1.2222222222222223
derived_vectors,change_density,tick_selective,tick_only,1024,1,16,11,8943,1504.5846363636365,1380.138250004117,1629.031022723156,1400.0,1600.0,2400.0,28700.0,690094.22,5707.23,0.0,0.0,0.0,11,1056,176,176,45056,0,308,45364,3,0,64.28874801409266,2300.0,1.2203809318842138
derived_vectors,change_density,tick_selective,tick_only,1024,10,16,11,8943,3045.186181818182,2913.030791447232,3177.341572189132,2800.0,3000.0,4900.0,87500.0,341166.597,12512.7,0.0,0.0,0.0,103,9888,1648,1648,45056,0,2884,47940,3,0,133.62793109776044,4800.0,1.2060984200462916
derived_vectors,change_density,tick_selective,tick_only,1024,100,16,11,8943,21530.560181818182,21024.381945811623,22036.73841782474,20500.0,27800.0,33300.0,480800.0,46906.913,94931.836,0.022363860002236387,0.0,0.0,1024,98304,16384,16384,45056,0,28672,73728,3,0,841.5634842799477,33200.0,1.125
derived_vectors,change_density,tick_selective,tick_only,4096,0,16,11,2233,4990.0583636363635,4628.669518223367,5351.44720904936,4600.0,4700.0,7900.0,28400.0,209927.611,18073.739,0.0,0.0,0.0,0,0,0,0,180224,0,0,180224,3,1,225.1064906517718,7800.0,1.2222222222222223
derived_vectors,change_density,tick_selective,tick_only,4096,1,16,11,2233,5581.415272727273,5213.5673706565085,5949.263174798038,5300.0,5400.0,6700.0,30300.0,185371.199,20964.266,0.0,0.0,0.0,41,3936,656,656,180224,0,1148,181372,3,0,243.899366372033,6600.0,1.2205055045624613
derived_vectors,change_density,tick_selective,tick_only,4096,10,16,11,2233,12532.243454545456,11864.029316968787,13200.457592122126,11400.0,16500.0,23100.0,47500.0,82302.858,52918.887,0.0,0.0,0.0,410,39360,6560,6560,180224,0,11480,191704,3,0,527.0157736183747,23000.0,1.2061710373987014
derived_vectors,change_density,tick_selective,tick_only,4096,100,16,11,2233,86883.34081818181,84248.80436850613,89517.87726785749,81900.0,101800.0,112600.0,412500.0,11698.805,389460.759,11.061352440662786,0.0,0.0,4096,393216,65536,65536,180224,0,114688,294912,3,0,2661.3259586815293,112500.0,1.125
