algorithm,variant,workload,parameter,repetitions,mean_ns,mean_ci95_low_ns,mean_ci95_high_ns,median_ns,p95_ns,p99_ns,maximum_observed_ns,throughput_updates_s,cycles_per_update,deadline_1us_miss_pct,deadline_10us_miss_pct,deadline_100us_miss_pct,persistent_bytes,history_bytes,temporary_bytes,bytes_read_per_update,baseline_variant,slowdown_ratio,relative_overhead_pct
game_tick_motion,hidden_stateful,entities_1024,4,11,2628.029090909091,1943.0515060112298,3313.006675806952,2200.0,3200.0,3900.0,4212400.0,399750.156,9052.094,100.0,0.5868107302533532,0.06520119225037257,24576,0,0,36864,,,
game_tick_motion,hidden_stateful,entities_1024,16,11,2499.194181818182,1794.23745390809,3204.150909728274,1900.0,2600.0,2900.0,461000.0,487952.362,7740.806,100.0,0.42613636363636365,0.07102272727272728,24576,0,0,36864,,,
game_tick_motion,hidden_stateful,entities_1024,64,11,2479.544818181818,1998.7302329441518,2960.359403419484,2100.0,2500.0,3400.0,128900.0,439495.525,7935.667,100.0,0.42613636363636365,0.14204545454545456,24576,0,0,36864,,,
game_tick_motion,hidden_stateful,entities_256,1,11,805.6697272727273,320.4210864396584,1290.9183681057962,600.0,700.0,800.0,2509800.0,1891891.892,1957.774,0.3514406740213192,0.09542428897267607,0.01163710841130196,6144,0,0,9216,,,
game_tick_motion,hidden_stateful,entities_256,4,11,920.6154545454546,667.8962122126893,1173.3346968782198,500.0,700.0,900.0,7372900.0,1168401.729,2063.148,0.5582953382339257,0.2209919047175956,0.03954591979156974,6144,0,0,9216,,,
game_tick_motion,hidden_stateful,entities_256,16,11,606.8676363636364,310.98024698548835,902.7550257417845,500.0,600.0,700.0,117300.0,2168310.673,1744.333,0.19560357675111772,0.046572280178837556,0.009314456035767511,6144,0,0,9216,,,
game_tick_motion,hidden_stateful,entities_256,64,11,760.946909090909,609.4051998417851,912.4886183400329,500.0,700.0,800.0,14700.0,1520535.59,2039.696,0.3196022727272727,0.07102272727272728,0.0,6144,0,0,9216,,,
game_tick_motion,hidden_stateful,entities_256,256,11,498.095,452.1988916979395,543.9911083020605,400.0,600.0,700.0,80000.0,1970078.862,1868.145,0.14204545454545456,0.07102272727272728,0.0,6144,0,0,9216,,,
game_tick_motion,hidden_stateful,entities_4096,1,11,13022.665272727272,10225.933769269179,15819.396776185366,11200.0,14600.0,19500.0,821000.0,88236.358,42655.707,100.0,63.89716840536513,0.1676602086438152,98304,0,0,147456,,,
game_tick_motion,hidden_stateful,entities_4096,4,11,39654.47727272727,30032.283989168776,49276.67055628577,30200.0,69700.0,355700.0,5079400.0,24390.488,125807.906,100.0,99.10581222056632,3.5394932935916543,98304,0,0,147456,,,
